CERTIFICADO;PRODUCTO;DOCUMENTO;TIPO DE DOCUMENTO;NOMBRE;APELLIDO;DIRECCION;TELEFONO;BARRIO;CIUDAD;ESTADO CERTIFICADO;FECHA EMISION POLIZA;CIUDAD EMISION;DEPARTAMENTO EMISION;CIUDAD NACIMIENTO;DEPARTAMENTO NACIMIENTO;FECHA SINIESTRO;IDENTIFICADOR SINIESTRO ;ESTADO SINIESTRO
1000018;101;12345322;CE;APUS;Nahasapeemapetilon;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;C;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;20/03/2020;SNS2020032000001;A
1000018;101;12345322;CE;APUS;Nahasapeemapetilon;AV SIEMPRE VIVA 1234;3142222222;TINTAL;SPRINFIELD;C;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/09/2020;SNS2020091500002;A
1000010;101;52934898;CC;RAFAEL;GORGORY;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/01/2020;SNS2020011500003;A
1000017;101;76589470;CC;EDNA;CRABAPEL;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/02/2020;SNS2020021500004;A
1000008;101;79876456;CC;LISA;SIMPSONS;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;22/06/1980;SNS1980062200005;A
1000014;101;123098789;CC;MARCELA;ALEGRIA;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/03/2020;SNS2020031500006;A
1000016;101;123456432;CC;PABLO;PEREZ;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/04/2020;SNS2020041500007;A
1000001;102;205899454;CC;FRY;PHILIP;TRANSVERSAL 93 # 53-32;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;PASTO;NARIÑO;CALI;VALLE;15/05/2020;SNS2020051500008;A
1000013;101;234567654;DNI;JIBE;OBREGON;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;LIMA;LIMA;15/06/2020;SNS2020061500009;A
1000011;101;324567889;CC;HENRY;ALEGRIA;AV SIEMPRE VIVA 1234;3141111111;DUMMY;SPRINFIELD;V;1/01/2020;BOGOTA;BOGOTA D.C.;BOGOTA;BOGOTA D.C.;15/07/2020;SNS2020071500010;A
